Year,LGA_name,LGA_code,0-19,20-64,65+,Total_population,Ratio: 65+ to 18+,Median_income,Total_EGMs,Venues,Unemployment_rate,Net_expenditure (AUD),EGMs_PV,People_PEGM,Expenditure_PP (AUD),Expenditure_PEGM (AUD),Expenditure_PV (AUD),EXP_PP_label
2012,Alpine (S),20110,2747,6689,2702,12138,0.2877222872963476,32690,63,3,0.0471698113207547,2884895.09,21.0,149.06349206349208,307.1978585880098,45791.985555555555,961631.6966666667,Low
2012,Ararat (RC),20260,2627,6390,2338,11355,0.2678735105407883,35889,88,2,0.0465843621399176,5624389.579999999,44.0,99.18181818181819,644.4076054078826,63913.517954545445,2812194.7899999996,High
2012,Ballarat (C),20570,25751,56440,14781,96972,0.2075371028207972,40244,616,13,0.062260969691985,55938278.7,47.38461538461539,115.61850649350649,785.4183274595977,90808.8939935065,4302944.515384615,High
2012,Banyule (C),20660,29004,74748,19792,123544,0.2093505394541993,46039,639,11,0.0378212380798448,57804745.48,58.09090909090909,147.94992175273865,611.4316213243071,90461.26053208137,5254976.861818181,High
2012,Bass Coast (S),20740,6733,16592,7267,30592,0.3045810805146904,33513,198,5,0.0484996510816468,19134332.55,39.6,120.5,801.9754620897775,96638.04318181818,3826866.5100000002,Very High
2012,Baw Baw (S),20830,11837,24970,7559,44366,0.2323772633649974,38067,175,4,0.0417400050289162,13146890.43,43.75,185.88,404.1590712902333,75125.08817142856,3286722.6075,Medium
2012,Bayside (C),20910,24677,54769,17378,96824,0.2408693362163361,52228,273,7,0.0317653921620618,18137210.89,39.0,264.27472527472526,251.3924472258029,66436.66992673992,2591030.1271428573,Low
2012,Benalla (RC),21010,3316,7397,3016,13729,0.2896379525593008,36210,90,3,0.0620955528018725,5168843.34,30.0,115.7,496.3836876980697,57431.592666666664,1722947.78,Medium
2012,Boroondara (C),21110,40398,102653,25242,168293,0.1973650259978888,51548,197,5,0.0313679147489322,20182384.37,39.4,649.2131979695431,157.80432675241408,102448.65162436549,4036476.8740000003,Very Low
2012,Brimbank (C),21180,49114,121699,22852,193665,0.1580895324141652,39888,938,15,0.0906405838666181,145619089.79999998,62.53333333333333,154.10554371002132,1007.3890170251328,155244.23219616202,9707939.319999998,Very High
2012,Campaspe (S),21370,9761,19898,7295,36954,0.268267568859633,35836,167,3,0.0528623001547189,8114123.620000001,55.666666666666664,162.8323353293413,298.3901599676388,48587.56658682635,2704707.8733333335,Low
2012,Cardinia (S),21450,24219,47223,8642,80084,0.1546943524568155,42257,225,4,0.0502592165898617,21875156.16,56.25,248.2888888888889,391.57175619797727,97222.91626666667,5468789.04,Low
2012,Casey (C),21610,80784,162545,24563,267892,0.1312771233725976,42665,890,13,0.0535885903202245,125835347.02,68.46153846153847,210.23370786516853,672.5278823994698,141388.03035955055,9679642.078461539,High
2012,Central Goldfields (S),21670,2868,6528,3186,12582,0.3279802347127856,32370,96,2,0.0832904884318766,7931347.19,48.0,101.1875,816.4862250360305,82618.19989583334,3965673.595,Very High
2012,Colac-Otway (S),21750,5175,11575,3985,20735,0.2561053984575835,35851,110,5,0.0508086913902957,7518931.409999999,22.0,141.45454545454547,483.2218129820051,68353.9219090909,1503786.282,Medium
2012,Corangamite (S),21830,4549,8609,3229,16387,0.2727656698766683,35615,56,2,0.0318647540983606,3397149.9,28.0,211.39285714285714,286.9699189052205,60663.39107142857,1698574.95,Low
2012,Darebin (C),21890,29676,93562,20848,144086,0.1822218337557905,43311,883,14,0.0662998733375554,89265723.15,63.07142857142857,129.5696489241223,780.2265811554935,101093.6842015855,6376123.082142858,High
2012,East Gippsland (S),22110,9940,22863,10351,43154,0.3116456915758415,33066,332,10,0.0540149822578525,24314026.84,33.2,100.0421686746988,732.0415138194737,73235.02060240964,2431402.684,High
2012,Frankston (C),22170,33411,79785,18346,131542,0.1869541735027667,41874,554,10,0.0701289063573647,71286100.35,55.4,177.1317689530686,726.438132190643,128675.27138989168,7128610.034999999,High
2012,Gannawarra (S),22250,2499,5316,2579,10394,0.3266624445851805,33116,45,1,0.0367127496159754,1556634.75,45.0,175.44444444444446,197.1671627612413,34591.88333333333,1556634.75,Very Low
